AssetName,PackagePath,IsSkeletalMesh,LODCount,LOD0Vertices,MaterialSlots,UniqueTextures,MaxTextureResolution,AverageTextureResolution,UVChannels,GenerateLightmapUVs,MinLightmapResolution,MaxBoundsLengthM
"FlameTower_SkelMesh","/Game/Environment/Meshes",True,,,,,,,,False,,
"Cannon_Tower_SkelMesh","/Game/Environment/Meshes",True,,,,,,,,False,,
"ArbalestTower_SkelMesh","/Game/Environment/Meshes",True,,,,,,,,False,,
"WarHammer","/Game/Characters/DwarfGrunt/SkelMesh",True,,,,,,,,False,,
"Shield_Skel","/Game/Characters/DwarfGrunt/SkelMesh",True,,,,,,,,False,,
"DwarfGrunt_R_new","/Game/Characters/DwarfGrunt/SkelMesh",True,,,,,,,,False,,
"SM_TD_Gold_Pile","/Game/Environment/Meshes",False,1,121,1,3,512,512.000,2,False,0,1.424
"Sm_TD_Brewery_01_Add_B","/Game/Environment/Meshes",False,1,1471,1,3,2048,2048.000,2,False,0,4.017
"Sm_TD_Brewery_01_Add_A","/Game/Environment/Meshes",False,1,1228,1,3,2048,2048.000,2,False,0,4.017
"Sm_TD_Brewery_01","/Game/Environment/Meshes",False,1,4141,1,3,2048,2048.000,2,False,0,19.214
"RTS_Wooden_Planks","/Game/Environment/Meshes",False,1,13586,1,1,512,512.000,2,False,0,35.225
"RTS_Hanging_Chains","/Game/Environment/Meshes",False,1,5797,1,2,512,512.000,2,False,0,44.702
"RTS_Env_S_EV_FogSheet_01","/Game/Environment/Meshes",False,1,4,1,1,1024,1024.000,1,False,0,0.640
"RTS_Env_Rocks_01B","/Game/Environment/Meshes",False,1,147,1,2,2048,2048.000,2,False,0,2.586
"RTS_Env_MainFloor","/Game/Environment/Meshes",False,1,583,1,2,2048,2048.000,2,False,0,57.942
"RTS_Env_Ice_Fort_Trim_2","/Game/Environment/Meshes",False,1,1074,1,2,2048,2048.000,2,False,0,2.222
"RTS_Env_Ice_Fort_Trim_1","/Game/Environment/Meshes",False,1,875,1,2,2048,2048.000,2,False,0,0.640
"RTS_Env_Fire_NordHeed01","/Game/Environment/Meshes",False,1,1326,1,2,2048,2048.000,2,False,0,4.336
"RTS_Env_Fire_GrimStatue002","/Game/Environment/Meshes",False,1,1761,2,4,2048,2048.000,2,False,0,1.272
"RTS_Env_Cliffs_CliffWall_Box","/Game/Environment/Meshes",False,1,117,1,2,2048,2048.000,2,False,0,3.147
"M_lava_river_01","/Game/Environment/Meshes",False,1,138,1,1,1024,1024.000,2,False,0,72.796
"Detial_combined_02","/Game/Environment/Meshes",False,1,36996,1,2,1024,1024.000,2,False,0,50.809
"Detial_combined_01","/Game/Environment/Meshes",False,1,21079,1,2,1024,1024.000,2,False,0,30.185
"Combined_Rocks_01b","/Game/Environment/Meshes",False,1,27245,1,2,2048,2048.000,2,True,512,51.346
"Combined_Rocks_01a","/Game/Environment/Meshes",False,1,58630,1,2,2048,2048.000,2,True,512,119.540
"CannonTower_StaticElement","/Game/Environment/Meshes",False,1,213,1,3,2048,2048.000,2,False,0,3.453
"ArbalesTower_StaticElement","/Game/Environment/Meshes",False,1,340,1,3,2048,2048.000,2,False,0,3.453
"SM_plane_pivot_down","/Game/Environment/Effects/Meshes",False,1,4,1,2,512,384.000,1,False,0,0.500
"S_SandSwirl","/Game/Environment/Effects/Meshes",False,1,27,1,1,512,512.000,1,False,0,2.187
"S_plane","/Game/Environment/Effects/Meshes",False,1,6,1,2,512,512.000,1,False,0,2.560
"S_EV_SimpleLightBeam_cyl","/Game/Environment/Effects/Meshes",False,1,39,1,1,2048,2048.000,2,False,0,0.127
"plane_bulge_pivot_center","/Game/Environment/Effects/Meshes",False,1,49,1,1,256,256.000,1,False,0,0.500
"SM_Water","/Game/Bazaar_Meshingun/Master_Material/Water_Meshingun/Mesh",False,1,1681,1,5,2048,1638.400,1,True,16,1.000
"SM_Rock","/Game/Bazaar_Meshingun/Master_Material/MasterShader_Meshingun/Mesh",False,1,459,1,3,2048,2048.000,1,True,64,6.747
"SM_PlaneSample","/Game/Bazaar_Meshingun/Master_Material/MasterShader_Meshingun/Mesh",False,1,586,1,2,512,384.000,1,True,64,4.829
"SM_MatPreviewMesh_01","/Game/Bazaar_Meshingun/Master_Material/MasterShader_Meshingun/Mesh/Demo",False,1,30467,2,3,10,6.333,2,True,64,2.679
"SM_LightRoom","/Game/Bazaar_Meshingun/Environment/Misc",False,1,6157,1,2,512,384.000,1,True,64,662.340
"SM_Skybox","/Game/Bazaar_Meshingun/Environment/Misc/Sky",False,1,8064,1,1,8192,8192.000,5,False,0,81.920
"SM_WoodCrate_02b","/Game/Bazaar_Meshingun/Environment/Assets/Mesh/Prop",False,7,1176,1,7,2048,1609.143,1,True,96,0.663
"SM_WoodCrate_02a","/Game/Bazaar_Meshingun/Environment/Assets/Mesh/Prop",False,7,1200,1,7,2048,1609.143,1,True,96,0.663
"SM_WoodCrate_01b","/Game/Bazaar_Meshingun/Environment/Assets/Mesh/Prop",False,7,408,1,7,2048,1609.143,1,True,64,0.654
"SM_WoodCrate_01a","/Game/Bazaar_Meshingun/Environment/Assets/Mesh/Prop",False,7,408,1,7,2048,1609.143,1,True,64,0.643
